Date,13W_Risk_Free,10Y_Risk_Free
2014-08-04,0.014999999664723873,2.490999937057495
2014-08-05,0.02500000037252903,2.4830000400543213
2014-08-06,0.019999999552965164,2.4739999771118164
2014-08-07,0.019999999552965164,2.4240000247955322
2014-08-08,0.019999999552965164,2.4149999618530273
2014-08-11,0.02500000037252903,2.4200000762939453
2014-08-12,0.02500000037252903,2.441999912261963
2014-08-13,0.029999999329447746,2.4130001068115234
2014-08-14,0.02800000086426735,2.4000000953674316
2014-08-15,0.02199999988079071,2.3450000286102295
2014-08-18,0.02199999988079071,2.38700008392334
2014-08-19,0.02500000037252903,2.4049999713897705
2014-08-20,0.02500000037252903,2.4260001182556152
2014-08-21,0.014999999664723873,2.4070000648498535
2014-08-22,0.014999999664723873,2.4030001163482666
2014-08-25,0.014999999664723873,2.38700008392334
2014-08-26,0.02500000037252903,2.3910000324249268
2014-08-27,0.02500000037252903,2.3610000610351562
2014-08-28,0.02199999988079071,2.3340001106262207
2014-08-29,0.017999999225139618,2.3429999351501465
2014-09-02,0.019999999552965164,2.4189999103546143
2014-09-03,0.019999999552965164,2.4100000858306885
2014-09-04,0.019999999552965164,2.447999954223633
2014-09-05,0.019999999552965164,2.4609999656677246
2014-09-08,0.019999999552965164,2.4690001010894775
2014-09-09,0.014999999664723873,2.5
2014-09-10,0.014999999664723873,2.5339999198913574
2014-09-11,0.009999999776482582,2.5309998989105225
2014-09-12,0.009999999776482582,2.614000082015991
2014-09-15,0.009999999776482582,2.5910000801086426
2014-09-16,0.014999999664723873,2.5889999866485596
2014-09-17,0.013000000268220901,2.5999999046325684
2014-09-18,0.009999999776482582,2.628999948501587
2014-09-19,0.007000000216066837,2.5869998931884766
2014-09-22,0.003000000026077032,2.565999984741211
2014-09-23,0.007000000216066837,2.5350000858306885
2014-09-24,0.007000000216066837,2.569000005722046
2014-09-25,0.004999999888241291,2.510999917984009
2014-09-26,0.004999999888241291,2.5350000858306885
2014-09-29,0.004999999888241291,2.490999937057495
2014-09-30,0.013000000268220901,2.507999897003174
2014-10-01,0.013000000268220901,2.4030001163482666
2014-10-02,0.009999999776482582,2.437999963760376
2014-10-03,0.009999999776482582,2.447000026702881
2014-10-06,0.009999999776482582,2.424999952316284
2014-10-07,0.009999999776482582,2.3499999046325684
2014-10-08,0.004999999888241291,2.3299999237060547
2014-10-09,0.004999999888241291,2.3269999027252197
2014-10-10,0.004999999888241291,2.306999921798706
2014-10-13,0.004999999888241291,2.2860000133514404
2014-10-14,0.004999999888241291,2.2060000896453857
2014-10-15,0.009999999776482582,2.0899999141693115
2014-10-16,0.019999999552965164,2.1530001163482666
2014-10-17,0.02199999988079071,2.1989998817443848
2014-10-20,0.019999999552965164,2.180999994277954
2014-10-21,0.017999999225139618,2.2079999446868896
2014-10-22,0.014999999664723873,2.2290000915527344
2014-10-23,0.014999999664723873,2.2750000953674316
2014-10-24,0.004999999888241291,2.2730000019073486
2014-10-27,0.004999999888241291,2.256999969482422
2014-10-28,0.014999999664723873,2.2839999198913574
2014-10-29,0.014999999664723873,2.322999954223633
2014-10-30,0.003000000026077032,2.305000066757202
2014-10-31,0.003000000026077032,2.3350000381469727
2014-11-03,0.003000000026077032,2.3480000495910645
2014-11-04,0.02199999988079071,2.3420000076293945
2014-11-05,0.019999999552965164,2.3499999046325684
2014-11-06,0.017999999225139618,2.375
2014-11-07,0.017999999225139618,2.312000036239624
2014-11-10,0.014999999664723873,2.3589999675750732
2014-11-11,0.014999999664723873,2.359999895095825
2014-11-12,0.013000000268220901,2.3589999675750732
2014-11-13,0.004999999888241291,2.3469998836517334
2014-11-14,0.003000000026077032,2.319999933242798
2014-11-17,0.009999999776482582,2.3399999141693115
2014-11-18,0.014999999664723873,2.322000026702881
2014-11-19,0.014999999664723873,2.3510000705718994
2014-11-20,0.014999999664723873,2.3350000381469727
2014-11-21,0.003000000026077032,2.315000057220459
2014-11-24,0.004999999888241291,2.309999942779541
2014-11-25,0.017999999225139618,2.259999990463257
2014-11-26,0.009999999776482582,2.2339999675750732
2014-11-28,0.004999999888241291,2.194000005722046
2014-12-01,0.007000000216066837,2.2179999351501465
2014-12-02,0.014999999664723873,2.2850000858306885
2014-12-03,0.004999999888241291,2.2869999408721924
2014-12-04,0.013000000268220901,2.256999969482422
2014-12-05,0.009999999776482582,2.306999921798706
2014-12-08,0.004999999888241291,2.256999969482422
2014-12-09,0.02800000086426735,2.2200000286102295
2014-12-10,0.02500000037252903,2.1689999103546143
2014-12-11,0.02199999988079071,2.177999973297119
2014-12-12,0.014999999664723873,2.1029999256134033
2014-12-15,0.009999999776482582,2.115999937057495
2014-12-16,0.029999999329447746,2.071000099182129
2014-12-17,0.019999999552965164,2.1480000019073486
2014-12-18,0.032999999821186066,2.2039999961853027
2014-12-19,0.02500000037252903,2.1760001182556152
2014-12-22,0.014999999664723873,2.1619999408721924
2014-12-23,0.019999999552965164,2.256999969482422
2014-12-24,0.019999999552965164,2.2639999389648438
2014-12-26,0.009999999776482582,2.25
2014-12-29,0.003000000026077032,2.2070000171661377
2014-12-30,0.019999999552965164,2.190000057220459
2014-12-31,0.03700000047683716,2.1700000762939453
2015-01-02,0.014999999664723873,2.122999906539917
2015-01-05,0.003000000026077032,2.0390000343322754
2015-01-06,0.019999999552965164,1.9630000591278076
2015-01-07,0.019999999552965164,1.9539999961853027
2015-01-08,0.017999999225139618,2.0160000324249268
2015-01-09,0.014999999664723873,1.9709999561309814
2015-01-12,0.013000000268220901,1.9119999408721924
2015-01-13,0.023000000044703484,1.8899999856948853
2015-01-14,0.02500000037252903,1.8370000123977661
2015-01-15,0.023000000044703484,1.774999976158142
2015-01-16,0.017999999225139618,1.815000057220459
2015-01-20,0.00800000037997961,1.8070000410079956
2015-01-21,0.019999999552965164,1.8530000448226929
2015-01-22,0.014999999664723873,1.8960000276565552
2015-01-23,0.013000000268220901,1.8170000314712524
2015-01-26,0.004999999888241291,1.8279999494552612
2015-01-27,0.017999999225139618,1.8250000476837158
2015-01-28,0.014999999664723873,1.7239999771118164
2015-01-29,0.009999999776482582,1.7510000467300415
2015-01-30,0.004999999888241291,1.6749999523162842
2015-02-02,0.004999999888241291,1.6729999780654907
2015-02-03,0.014999999664723873,1.7799999713897705
2015-02-04,0.004999999888241291,1.7970000505447388
2015-02-05,0.00800000037997961,1.815000057220459
2015-02-06,0.014999999664723873,1.937999963760376
2015-02-09,0.003000000026077032,1.9479999542236328
2015-02-10,0.004999999888241291,1.9910000562667847
2015-02-11,0.004999999888241291,1.9880000352859497
2015-02-12,0.00800000037997961,1.9859999418258667
2015-02-13,0.004999999888241291,2.0209999084472656
2015-02-17,0.00800000037997961,2.1449999809265137
2015-02-18,0.013000000268220901,2.065999984741211
2015-02-19,0.013000000268220901,2.11299991607666
2015-02-20,0.009999999776482582,2.132999897003174
2015-02-23,0.014999999664723873,2.059000015258789
2015-02-24,0.017999999225139618,1.9880000352859497
2015-02-25,0.014999999664723873,1.968999981880188
2015-02-26,0.013000000268220901,2.0160000324249268
2015-02-27,0.00800000037997961,2.002000093460083
2015-03-02,0.004999999888241291,2.0840001106262207
2015-03-03,0.013000000268220901,2.121999979019165
2015-03-04,0.009999999776482582,2.122999906539917
2015-03-05,0.003000000026077032,2.111999988555908
2015-03-06,0.004999999888241291,2.240000009536743
2015-03-09,0.004999999888241291,2.194999933242798
2015-03-10,0.009999999776482582,2.125999927520752
2015-03-11,0.013000000268220901,2.1089999675750732
2015-03-12,0.017999999225139618,2.0959999561309814
2015-03-13,0.023000000044703484,2.111999988555908
2015-03-16,0.029999999329447746,2.0980000495910645
2015-03-17,0.04800000041723251,2.058000087738037
2015-03-18,0.03799999877810478,1.9509999752044678
2015-03-19,0.009999999776482582,1.9769999980926514
2015-03-20,0.003000000026077032,1.9299999475479126
2015-03-23,0.003000000026077032,1.9149999618530273
2015-03-24,0.014999999664723873,1.878000020980835
2015-03-25,0.017999999225139618,1.9199999570846558
2015-03-26,0.02800000086426735,2.006999969482422
2015-03-27,0.029999999329447746,1.9479999542236328
2015-03-30,0.023000000044703484,1.9630000591278076
2015-03-31,0.02500000037252903,1.934000015258789
2015-04-01,0.032999999821186066,1.8680000305175781
2015-04-02,0.009999999776482582,1.9040000438690186
2015-04-06,0.003000000026077032,1.9040000438690186
2015-04-07,0.014999999664723873,1.8930000066757202
2015-04-08,0.017999999225139618,1.8949999809265137
2015-04-09,0.019999999552965164,1.9579999446868896
2015-04-10,0.014999999664723873,1.9509999752044678
2015-04-13,0.004999999888241291,1.9390000104904175
2015-04-14,0.009999999776482582,1.9040000438690186
2015-04-15,0.014999999664723873,1.899999976158142
2015-04-16,0.009999999776482582,1.878000020980835
2015-04-17,0.013000000268220901,1.850000023841858
2015-04-20,0.013000000268220901,1.8949999809265137
2015-04-21,0.019999999552965164,1.9160000085830688
2015-04-22,0.019999999552965164,1.972000002861023
2015-04-23,0.019999999552965164,1.9470000267028809
2015-04-24,0.014999999664723873,1.9170000553131104
2015-04-27,0.013000000268220901,1.9240000247955322
2015-04-28,0.013000000268220901,1.9730000495910645
2015-04-29,0.003000000026077032,2.0350000858306885
2015-04-30,0.004999999888241291,2.0460000038146973
2015-05-01,0.003000000026077032,2.117000102996826
2015-05-04,0.003000000026077032,2.134999990463257
2015-05-05,0.00800000037997961,2.1760001182556152
2015-05-06,0.009999999776482582,2.240000009536743
2015-05-07,0.004999999888241291,2.184000015258789
2015-05-08,0.003000000026077032,2.1500000953674316
2015-05-11,0.004999999888241291,2.2739999294281006
2015-05-12,0.013000000268220901,2.259999990463257
2015-05-13,0.009999999776482582,2.2820000648498535
2015-05-14,0.009999999776482582,2.239000082015991
2015-05-15,0.009999999776482582,2.1410000324249268
2015-05-18,0.00800000037997961,2.2279999256134033
2015-05-19,0.009999999776482582,2.26200008392334
2015-05-20,0.013000000268220901,2.250999927520752
2015-05-21,0.013000000268220901,2.184999942779541
2015-05-22,0.009999999776482582,2.2149999141693115
2015-05-26,0.009999999776482582,2.13700008392334
2015-05-27,0.013000000268220901,2.134999990463257
2015-05-28,0.003000000026077032,2.130000114440918
2015-05-29,0.003000000026077032,2.0950000286102295
2015-06-01,0.00800000037997961,2.191999912261963
2015-06-02,0.009999999776482582,2.2660000324249268
2015-06-03,0.009999999776482582,2.365999937057495
2015-06-04,0.004999999888241291,2.306999921798706
2015-06-05,0.009999999776482582,2.4019999504089355
2015-06-08,0.009999999776482582,2.38100004196167
2015-06-09,0.013000000268220901,2.4170000553131104
2015-06-10,0.013000000268220901,2.4779999256134033
2015-06-11,0.00800000037997961,2.382999897003174
2015-06-12,0.004999999888241291,2.384999990463257
2015-06-15,0.003000000026077032,2.3580000400543213
2015-06-16,0.00800000037997961,2.318000078201294
2015-06-17,0.003000000026077032,2.305999994277954
2015-06-18,0.003000000026077032,2.3510000705718994
2015-06-19,0.003000000026077032,2.2669999599456787
2015-06-22,0.003000000026077032,2.359999895095825
2015-06-23,0.00800000037997961,2.4089999198913574
2015-06-24,0.004999999888241291,2.371000051498413
2015-06-25,0.004999999888241291,2.3929998874664307
2015-06-26,0.004999999888241291,2.4760000705718994
2015-06-29,0.004999999888241291,2.3310000896453857
2015-06-30,0.009999999776482582,2.3350000381469727
2015-07-01,0.003000000026077032,2.4179999828338623
2015-07-02,0.003000000026077032,2.3929998874664307
2015-07-06,0.004999999888241291,2.2780001163482666
2015-07-07,0.009999999776482582,2.2309999465942383
2015-07-08,0.009999999776482582,2.2060000896453857
2015-07-09,0.00800000037997961,2.3010001182556152
2015-07-10,0.00800000037997961,2.4170000553131104
2015-07-13,0.00800000037997961,2.430000066757202
2015-07-14,0.009999999776482582,2.3989999294281006
2015-07-15,0.013000000268220901,2.3499999046325684
2015-07-16,0.009999999776482582,2.3519999980926514
2015-07-17,0.013000000268220901,2.3489999771118164
2015-07-20,0.023000000044703484,2.371999979019165
2015-07-21,0.029999999329447746,2.3399999141693115
2015-07-22,0.029999999329447746,2.322000026702881
2015-07-23,0.029999999329447746,2.2769999504089355
2015-07-24,0.029999999329447746,2.2709999084472656
2015-07-27,0.02800000086426735,2.2279999256134033
2015-07-28,0.0430000014603138,2.25
2015-07-29,0.04500000178813934,2.2790000438690186
2015-07-30,0.05999999865889549,2.2679998874664307
2015-07-31,0.057999998331069946,2.2049999237060547
2015-08-03,0.06300000101327896,2.1500000953674316
2015-08-04,0.07500000298023224,2.2109999656677246
2015-08-05,0.07500000298023224,2.2679998874664307
2015-08-06,0.02800000086426735,2.2339999675750732
2015-08-07,0.054999999701976776,2.174999952316284
2015-08-10,0.06499999761581421,2.23799991607666
2015-08-11,0.09799999743700027,2.13700008392334
2015-08-12,0.09000000357627869,2.130000114440918
2015-08-13,0.08299999684095383,2.188999891281128
2015-08-14,0.07999999821186066,2.196000099182129
2015-08-17,0.05999999865889549,2.1500000953674316
2015-08-18,0.08500000089406967,2.196000099182129
2015-08-19,0.03999999910593033,2.128999948501587
2015-08-20,0.014999999664723873,2.0840001106262207
2015-08-21,0.019999999552965164,2.053999900817871
2015-08-24,0.014999999664723873,1.996999979019165
2015-08-25,0.05299999937415123,2.132999897003174
2015-08-26,0.054999999701976776,2.171999931335449
2015-08-27,0.05000000074505806,2.1679999828338623
2015-08-28,0.05000000074505806,2.186000108718872
2015-08-31,0.003000000026077032,2.200000047683716
2015-09-01,0.03799999877810478,2.171999931335449
2015-09-02,0.02500000037252903,2.193000078201294
2015-09-03,0.014999999664723873,2.1679999828338623
2015-09-04,0.02500000037252903,2.128000020980835
2015-09-08,0.02500000037252903,2.194000005722046
2015-09-09,0.03500000014901161,2.180999994277954
2015-09-10,0.014999999664723873,2.2219998836517334
2015-09-11,0.023000000044703484,2.183000087738037
2015-09-14,0.02500000037252903,2.180000066757202
2015-09-15,0.057999998331069946,2.2809998989105225
2015-09-16,0.05299999937415123,2.302999973297119
2015-09-17,0.003000000026077032,2.2170000076293945
2015-09-18,0.009999999776482582,2.130000114440918
2015-09-21,0.013000000268220901,2.2139999866485596
2015-09-22,0.003000000026077032,2.125
2015-09-23,0.003000000026077032,2.1440000534057617
2015-09-24,0.004999999888241291,2.119999885559082
2015-09-25,0.019999999552965164,2.1679999828338623
2015-09-28,0.013000000268220901,2.0950000286102295
2015-09-29,0.003000000026077032,2.053999900817871
2015-09-30,0.004999999888241291,2.059999942779541
2015-10-01,0.017999999225139618,2.0420000553131104
2015-10-02,0.00800000037997961,1.9889999628067017
