Stock,CurrentPrice,BestPrice,AvgPrice,LeastPrice,%Prob of Return>=SustainableTarget,%Prob of Return>RiskFreeRate
Synchrony Financial,49.97,148.69,51.65,17.16,35.34,57.16
Synopsys,563.12,1199.01,571.61,306.75,29.58,60.86
Sysco,73.62,150.2,75.06,32.8,30.84,61.88
T-Mobile US,182.05,455.63,187.97,77.0,35.42,59.1
T. Rowe Price,114.79,236.22,117.17,52.15,31.64,60.66
Take-Two Interactive,150.32,374.2,154.13,57.35,34.08,57.94
"Tapestry, Inc.",41.23,112.48,43.04,13.74,37.28,57.84
Targa Resources,136.37,530.69,145.8,38.31,40.34,56.38
Target Corporation,149.73,327.66,152.92,78.7,31.06,60.78
TE Connectivity,150.69,302.63,153.47,77.45,30.7,61.08
Teledyne Technologies,392.93,881.87,400.44,188.03,30.16,60.86
Teleflex,221.79,409.82,226.02,105.13,30.36,61.86
Teradyne,146.42,384.46,151.32,49.68,35.44,57.88
"Tesla, Inc.",239.2,865.67,260.74,58.54,41.14,55.7
Texas Instruments,199.1,383.32,202.68,104.04,30.42,61.16
Textron,90.33,215.88,93.37,41.15,34.82,59.34
Thermo Fisher Scientific,534.35,1009.75,542.28,299.94,28.42,62.0
TJX Companies,111.75,211.2,113.91,62.53,30.06,63.08
Tractor Supply,268.45,558.24,274.81,131.05,32.58,61.16
Trane Technologies,330.14,659.44,336.52,161.44,31.04,60.88
TransDigm Group,1238.07,2638.86,1266.9,451.98,33.62,59.2
Travelers Companies (The),203.48,407.75,206.09,123.28,27.92,62.82
Trimble Inc.,55.98,126.36,57.43,25.87,34.04,58.48
Truist,42.41,105.92,43.32,20.36,32.26,58.68
Tyler Technologies,524.33,994.08,535.83,273.98,32.34,60.16
Tyson Foods,59.73,114.76,60.97,29.21,31.32,60.46
U.S. Bank,44.76,92.5,45.56,20.86,31.92,60.46
Uber,67.31,283.26,72.36,14.54,40.26,56.54
"UDR, Inc.",41.52,80.86,42.23,21.92,29.56,62.4
Ulta Beauty,390.92,1126.83,402.6,157.42,35.3,55.96
Union Pacific Corporation,242.32,448.48,245.29,125.07,28.08,61.42
United Airlines Holdings,47.93,145.75,50.91,14.61,39.78,56.82
United Parcel Service,145.18,247.46,147.36,81.32,28.3,63.22
United Rentals,718.64,2546.39,755.01,239.79,37.52,56.4
UnitedHealth Group,565.33,1058.91,576.38,290.61,30.14,62.76
Universal Health Services,180.82,437.01,186.59,76.77,35.0,59.82
Valero Energy,148.33,456.0,154.74,54.53,36.6,59.6
Ventas,53.3,127.88,54.82,23.96,33.74,59.6
Veralto,98.46,200.39,99.56,48.27,27.86,61.44
Verisign,177.18,356.88,179.45,90.59,28.78,60.34
Verisk,276.83,496.13,279.16,164.54,25.16,62.68
Verizon,41.62,70.86,41.91,25.77,22.74,65.86
Vertex Pharmaceuticals,491.57,1267.16,511.49,176.15,36.6,56.76
Viatris,11.84,31.05,12.26,4.94,34.84,59.14
Vici Properties,30.31,65.9,31.11,13.62,33.66,59.02
Visa Inc.,265.46,508.0,269.22,145.13,28.96,61.36
