Stock,CurrentPrice,BestPrice,AvgPrice,LeastPrice,%Prob of Return>=SustainableTarget,%Prob of Return>RiskFreeRate
Host Hotels & Resorts,17.86,48.84,18.45,8.33,35.38,60.06
Howmet Aerospace,78.03,211.58,81.46,30.6,36.44,57.86
HP Inc.,37.15,88.23,38.39,17.03,35.04,59.86
Hubbell Incorporated,370.23,753.85,375.75,182.63,28.78,60.04
Humana,387.38,940.67,396.28,190.56,33.12,60.46
Huntington Bancshares,14.86,32.51,15.19,5.75,33.34,58.42
Huntington Ingalls Industries,263.42,581.28,267.85,138.88,31.06,60.9
IBM,183.25,318.65,185.42,102.59,26.8,64.36
IDEX Corporation,202.97,366.19,205.29,111.56,27.26,62.66
Idexx Laboratories,468.2,1007.17,479.02,221.0,32.22,60.8
Illinois Tool Works,242.62,450.38,246.3,137.85,28.12,63.28
Incyte,65.87,168.3,68.06,21.35,36.08,55.86
Ingersoll Rand,96.86,218.04,100.07,40.87,35.52,59.1
Insulet Corporation,195.03,589.89,202.35,65.19,36.46,56.74
Intel,32.98,69.04,33.84,16.75,33.52,60.04
Intercontinental Exchange,147.68,283.63,149.57,79.31,27.88,61.3
International Flavors & Fragrances,95.67,200.33,97.27,48.16,30.36,60.14
International Paper,45.72,91.49,46.53,18.92,32.14,59.04
Interpublic Group of Companies (The),29.65,63.43,30.38,11.9,33.9,58.56
Intuit,636.56,1297.0,650.29,300.74,32.52,60.18
Intuitive Surgical,455.01,1108.5,470.37,188.74,34.44,60.5
Invesco,16.21,38.1,16.73,6.76,35.04,57.84
Invitation Homes,35.92,72.26,36.55,16.79,30.26,61.66
IQVIA,224.57,447.04,228.78,112.88,31.98,59.88
Iron Mountain,98.28,211.81,100.05,50.34,30.44,59.9
J.B. Hunt,164.18,329.01,166.78,82.65,29.44,60.5
Jabil,110.54,269.94,114.71,45.78,36.08,59.18
Jack Henry & Associates,166.1,296.99,167.65,94.95,26.22,61.78
Jacobs Solutions,147.89,282.55,150.51,80.84,31.72,60.66
Johnson & Johnson,154.69,262.09,155.7,94.47,20.6,66.8
Johnson Controls,68.95,128.19,70.23,33.64,29.88,61.54
JPMorgan Chase,209.78,415.08,213.08,108.9,30.48,59.86
Juniper Networks,37.29,101.1,38.16,17.0,32.78,58.7
Kellanova,57.96,98.4,58.56,32.95,24.16,65.44
Kenvue,18.25,35.99,18.54,10.5,29.0,61.76
Keurig Dr Pepper,32.98,137.87,35.26,9.29,39.66,56.62
KeyCorp,15.59,43.86,16.18,5.94,35.54,58.28
Keysight,137.4,339.51,140.29,65.11,31.36,59.82
Kimberly-Clark,143.63,233.35,144.87,87.41,23.06,65.78
Kimco Realty,21.24,50.19,21.79,9.54,33.52,59.28
Kinder Morgan,21.49,46.64,22.01,10.59,33.06,59.42
KKR,115.15,364.09,118.55,44.33,34.26,58.66
KLA Corporation,762.55,1966.09,786.32,311.12,34.66,58.3
Kraft Heinz,33.12,68.73,33.72,16.36,31.14,60.0
Kroger,54.51,99.21,55.49,26.09,30.42,61.86
L3Harris,234.77,480.84,239.0,117.96,30.16,61.2
LabCorp,211.37,382.46,214.75,114.83,28.76,61.88
Lam Research,917.11,2302.44,956.45,384.77,36.54,58.52
Lamb Weston,77.48,176.26,79.47,35.69,33.46,59.14
Las Vegas Sands,41.07,105.5,42.76,15.36,36.16,57.4
Leidos,149.94,302.42,153.06,73.38,31.02,60.46
Lennar,170.94,500.53,177.23,67.26,36.28,58.06
Lilly (Eli),857.47,1551.44,869.39,465.27,29.18,61.54
Linde plc,444.75,749.58,449.13,268.65,25.48,63.4
Live Nation Entertainment,95.1,259.49,98.39,37.4,35.38,56.98
LKQ Corporation,45.09,106.95,46.55,19.56,34.76,60.84
Lockheed Martin,474.92,802.46,480.92,273.21,25.94,64.48
Loews Corporation,78.06,155.4,79.36,42.39,29.5,62.94
Lowe's,238.52,507.33,243.55,117.6,31.34,60.5
Lululemon Athletica,280.24,862.52,292.13,109.43,36.56,57.48
LyondellBasell,97.0,254.7,100.54,38.63,36.66,59.54
M&T Bank,165.25,352.3,167.83,84.6,31.26,58.44
Marathon Oil,28.72,97.64,30.44,7.58,39.26,56.56
Marathon Petroleum,165.16,440.85,172.35,62.57,37.06,57.66
MarketAxess,219.16,506.1,227.7,97.25,36.26,60.36
Marriott International,243.91,589.2,252.1,119.21,34.7,60.56
Marsh McLennan,216.75,380.31,218.87,135.56,24.52,64.12
Martin Marietta Materials,559.08,1338.25,574.97,265.17,33.64,60.92
Masco,72.73,175.96,74.54,32.03,33.32,59.08
Mastercard,443.69,909.91,451.62,218.77,30.86,60.82
Match Group,34.67,101.42,35.86,11.61,35.56,56.6
McCormick & Company,73.59,135.45,74.51,41.96,26.2,64.94
McDonald's,257.28,423.25,259.6,144.04,22.58,65.84
McKesson Corporation,580.13,1198.47,589.46,282.43,29.88,60.52
Medtronic,79.48,145.22,80.34,44.95,26.64,62.76
Merck & Co.,125.77,214.81,127.23,73.97,25.84,64.62
Meta Platforms,476.79,1309.77,495.4,166.09,36.42,57.3
MetLife,74.78,163.13,76.79,29.21,34.0,59.82
Mettler Toledo,1344.26,2748.49,1362.59,696.91,30.46,59.38
MGM Resorts,45.37,152.46,47.84,12.84,38.24,56.76
Microchip Technology,88.77,231.75,91.09,34.17,33.4,58.42
Micron Technology,114.26,395.23,121.83,38.27,39.4,57.46
Microsoft,437.11,800.73,445.86,203.56,30.86,62.22
Mid-America Apartment Communities,143.7,264.3,145.28,73.63,27.54,62.2
Moderna,121.14,839.51,139.27,24.24,43.94,55.56
Mohawk Industries,129.04,376.51,132.72,52.17,34.8,57.24
Molina Healthcare,288.36,678.58,297.77,100.06,36.76,57.02
Molson Coors Beverage Company,52.4,101.34,53.37,26.86,30.44,61.58
Mondelez International,66.45,134.51,67.0,38.35,26.98,62.14
Monolithic Power Systems,808.83,2287.3,842.54,273.24,36.88,58.82
Monster Beverage,50.89,111.12,52.29,21.73,33.48,60.06
Moody's Corporation,442.14,905.29,451.62,221.17,31.58,59.94
Morgan Stanley,102.09,257.03,105.4,47.11,34.76,59.4
Mosaic Company (The),29.64,89.37,31.04,10.78,37.6,57.74
Motorola Solutions,390.19,750.09,397.1,202.65,29.78,62.84
MSCI,495.89,1013.73,507.74,213.7,32.74,59.5
